Encoder Position: 21151  Error: -21149  Integral Component: -211.49  Control Voltage: -2.15761e+06
Encoder Position: 21174  Error: -21172  Integral Component: -423.21  Control Voltage: -44644
Encoder Position: 21196  Error: -21172  Integral Component: -634.93  Control Voltage: -42344
Encoder Position: 21196  Error: -21194  Integral Component: -846.87  Control Voltage: -44588
Encoder Position: 21218  Error: -21216  Integral Component: -1059.03  Control Voltage: -44632
Encoder Position: 21218  Error: -21216  Integral Component: -1271.19  Control Voltage: -42432
Encoder Position: 21241  Error: -21239  Integral Component: -1483.58  Control Voltage: -44778
Encoder Position: 21241  Error: -21239  Integral Component: -1695.97  Control Voltage: -42478
Encoder Position: 21263  Error: -21261  Integral Component: -1908.58  Control Voltage: -44722
Encoder Position: 21263  Error: -21261  Integral Component: -2121.19  Control Voltage: -42522
Encoder Position: 21285  Error: -21283  Integral Component: -2334.02  Control Voltage: -44766
Encoder Position: 21285  Error: -21283  Integral Component: -2546.85  Control Voltage: -42566
Encoder Position: 21308  Error: -21306  Integral Component: -2759.91  Control Voltage: -44912
Encoder Position: 21308  Error: -21306  Integral Component: -2972.97  Control Voltage: -42612
Encoder Position: 21330  Error: -21328  Integral Component: -3186.25  Control Voltage: -44856
Encoder Position: 21330  Error: -21328  Integral Component: -3399.53  Control Voltage: -42656
Encoder Position: 21352  Error: -21350  Integral Component: -3613.03  Control Voltage: -44900
Encoder Position: 21352  Error: -21350  Integral Component: -3826.53  Control Voltage: -42700
Encoder Position: 21375  Error: -21373  Integral Component: -4040.26  Control Voltage: -45046
Encoder Position: 21397  Error: -21395  Integral Component: -4254.21  Control Voltage: -44990
Encoder Position: 21397  Error: -21395  Integral Component: -4468.16  Control Voltage: -42790
Encoder Position: 21419  Error: -21417  Integral Component: -4682.33  Control Voltage: -45034
Encoder Position: 21419  Error: -21417  Integral Component: -4896.5  Control Voltage: -42834
Encoder Position: 21442  Error: -21440  Integral Component: -5110.9  Control Voltage: -45180
Encoder Position: 21442  Error: -21440  Integral Component: -5325.3  Control Voltage: -42880
Encoder Position: 21464  Error: -21462  Integral Component: -5539.92  Control Voltage: -45124
Encoder Position: 21464  Error: -21462  Integral Component: -5754.54  Control Voltage: -42924
Encoder Position: 21487  Error: -21485  Integral Component: -5969.39  Control Voltage: -45270
Encoder Position: 21487  Error: -21485  Integral Component: -6184.24  Control Voltage: -42970
Encoder Position: 21509  Error: -21507  Integral Component: -6399.31  Control Voltage: -45214
Encoder Position: 21509  Error: -21507  Integral Component: -6614.38  Control Voltage: -43014
Encoder Position: 21531  Error: -21529  Integral Component: -6829.67  Control Voltage: -45258
Encoder Position: 21554  Error: -21529  Integral Component: -7044.96  Control Voltage: -43058
Encoder Position: 21554  Error: -21552  Integral Component: -7260.48  Control Voltage: -45404
Encoder Position: 21576  Error: -21574  Integral Component: -7476.22  Control Voltage: -45348
Encoder Position: 21576  Error: -21574  Integral Component: -7691.96  Control Voltage: -43148
Encoder Position: 21598  Error: -21596  Integral Component: -7907.92  Control Voltage: -45392
Encoder Position: 21598  Error: -21596  Integral Component: -8123.88  Control Voltage: -43192
Encoder Position: 21621  Error: -21619  Integral Component: -8340.07  Control Voltage: -45538
Encoder Position: 21643  Error: -21641  Integral Component: -8556.48  Control Voltage: -45482
Encoder Position: 21643  Error: -21641  Integral Component: -8772.89  Control Voltage: -43282
Encoder Position: 21665  Error: -21663  Integral Component: -8989.52  Control Voltage: -45526
Encoder Position: 21665  Error: -21663  Integral Component: -9206.15  Control Voltage: -43326
Encoder Position: 21688  Error: -21686  Integral Component: -9423.01  Control Voltage: -45672
Encoder Position: 21688  Error: -21686  Integral Component: -9639.87  Control Voltage: -43372
Encoder Position: 21710  Error: -21708  Integral Component: -9856.95  Control Voltage: -45616
Encoder Position: 21710  Error: -21708  Integral Component: -10074  Control Voltage: -43416
Encoder Position: 21732  Error: -21730  Integral Component: -10291.3  Control Voltage: -45660
Encoder Position: 21732  Error: -21730  Integral Component: -10508.6  Control Voltage: -43460
Encoder Position: 21755  Error: -21753  Integral Component: -10726.2  Control Voltage: -45806
Encoder Position: 21777  Error: -21775  Integral Component: -10943.9  Control Voltage: -45750
Encoder Position: 21777  Error: -21775  Integral Component: -11161.7  Control Voltage: -43550
Encoder Position: 21799  Error: -21797  Integral Component: -11379.6  Control Voltage: -45794
Encoder Position: 21799  Error: -21797  Integral Component: -11597.6  Control Voltage: -43594
Encoder Position: 21822  Error: -21820  Integral Component: -11815.8  Control Voltage: -45940
Encoder Position: 21822  Error: -21820  Integral Component: -12034  Control Voltage: -43640
Encoder Position: 21844  Error: -21842  Integral Component: -12252.4  Control Voltage: -45884
Encoder Position: 21844  Error: -21842  Integral Component: -12470.8  Control Voltage: -43684
Encoder Position: 21867  Error: -21865  Integral Component: -12689.5  Control Voltage: -46030
Encoder Position: 21867  Error: -21865  Integral Component: -12908.1  Control Voltage: -43730
Encoder Position: 21889  Error: -21887  Integral Component: -13127  Control Voltage: -45974
Encoder Position: 21889  Error: -21887  Integral Component: -13345.9  Control Voltage: -43774
Encoder Position: 21911  Error: -21909  Integral Component: -13565  Control Voltage: -46018
