SetPoint: 2  Speed: -390  Error: 0  Integral Component: 0  Control Voltage: 0
SetPoint: 2  Speed: -132  Error: 134  Integral Component: 8.43109  Control Voltage: -5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 8.56121  Control Voltage: -5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 8.68664  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 8.81641  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 8.94363  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.07022  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.19446  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.32046  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.44536  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.57029  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.69767  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.82455  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 9.95399  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.0789  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.2035  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.3292  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.454  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.5777  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.7065  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.8318  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 10.957  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.0826  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.2081  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.3335  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.4612  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.5862  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.7162  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.8414  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 11.9658  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.0925  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.2186  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.3472  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.4733  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.5978  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.7245  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.8501  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 12.9753  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.1007  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.23  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.3571  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.4861  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.612  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.7358  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.8632  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 13.9887  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 14.1151  Control Voltage: 5
SetPoint: 2  Speed: 0  Error: 2  Integral Component: 14.2418  Control Voltage: 5
