SetPoint: 5  Speed: 0  Error: 0  Integral Component: 0  Control Voltage: 0
SetPoint: 5  Speed: 0  Error: 5  Integral Component: 0.339994  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: 0.660824  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: 0.980529  Control Voltage: 5
SetPoint: 5  Speed: 78  Error: -73  Integral Component: -3.83422  Control Voltage: -5
SetPoint: 5  Speed: 641  Error: -636  Integral Component: -44.6747  Control Voltage: -5
SetPoint: 5  Speed: 450  Error: -445  Integral Component: -74.1076  Control Voltage: -5
SetPoint: 5  Speed: 194  Error: -189  Integral Component: -86.3696  Control Voltage: -5
SetPoint: 5  Speed: -77  Error: 82  Integral Component: -81.0515  Control Voltage: 5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -78.2705  Control Voltage: 5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -80.4592  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -81.371  Control Voltage: -5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -79.8026  Control Voltage: 5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -76.9823  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -79.1313  Control Voltage: -5
SetPoint: 5  Speed: 78  Error: -73  Integral Component: -83.8723  Control Voltage: -5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -79.8564  Control Voltage: 5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -75.748  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -77.8691  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -78.8125  Control Voltage: -5
SetPoint: 5  Speed: -77  Error: 82  Integral Component: -73.4955  Control Voltage: 5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -70.6613  Control Voltage: 5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -72.8408  Control Voltage: -5
SetPoint: 5  Speed: 78  Error: -73  Integral Component: -77.4472  Control Voltage: -5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -73.4002  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -71.8428  Control Voltage: 5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -72.7399  Control Voltage: -5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -75.0156  Control Voltage: -5
SetPoint: 5  Speed: -78  Error: 83  Integral Component: -69.6888  Control Voltage: 5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -66.8735  Control Voltage: 5
SetPoint: 5  Speed: 57  Error: -52  Integral Component: -70.2564  Control Voltage: -5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -73.7026  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -70.9262  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -69.364  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -71.5071  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -72.4149  Control Voltage: -5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -68.3843  Control Voltage: 5
SetPoint: 5  Speed: -57  Error: 62  Integral Component: -64.3723  Control Voltage: 5
SetPoint: 5  Speed: 78  Error: -73  Integral Component: -69.1695  Control Voltage: -5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -71.2851  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -68.5095  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -68.1861  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -70.2738  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -71.1694  Control Voltage: -5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -69.6283  Control Voltage: 5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -66.7999  Control Voltage: 5
SetPoint: 5  Speed: 77  Error: -72  Integral Component: -71.399  Control Voltage: -5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -73.5346  Control Voltage: -5
SetPoint: 5  Speed: -57  Error: 62  Integral Component: -69.4828  Control Voltage: 5
SetPoint: 5  Speed: -57  Error: 62  Integral Component: -65.4571  Control Voltage: 5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -68.9104  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -69.8187  Control Voltage: -5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -67.0029  Control Voltage: 5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -64.173  Control Voltage: 5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -67.5788  Control Voltage: -5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -69.6896  Control Voltage: -5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -65.6433  Control Voltage: 5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -61.5811  Control Voltage: 5
SetPoint: 5  Speed: 57  Error: -52  Integral Component: -64.9283  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -65.8494  Control Voltage: -5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -63.0248  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -61.4811  Control Voltage: 5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -64.8418  Control Voltage: -5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -67.019  Control Voltage: -5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -62.9772  Control Voltage: 5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -60.1952  Control Voltage: 5
SetPoint: 5  Speed: 57  Error: -52  Integral Component: -63.563  Control Voltage: -5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -65.7828  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -63.0104  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -61.4588  Control Voltage: 5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -63.6374  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -64.5536  Control Voltage: -5
